,Title,Metascore,tomatoMeter,tomatoUserMeter,scaledIMDb,Mean_Rating
30695,Gambling House,,,,62.45683200275611,62.45683200275611
4025,Mischka,,,,62.45683200275611,62.45683200275611
26646,Of Feline Bondage,,,,62.45683200275611,62.45683200275611
24727,Boukou gishiki,,,,62.45653589646305,62.45653589646305
32043,Mariona Rebull,,,,62.45645582062187,62.45645582062187
31690,It's Hard to Be Good,,,,62.45645582062187,62.45645582062187
21204,Jag rodnar,,,,62.45645582062187,62.45645582062187
27743,Twist Craze,,,,62.45645582062187,62.45645582062187
16814,Dirty Woman,,,,62.45645582062187,62.45645582062187
25888,48 Stunden bis Acapulco,,,,62.45639590892739,62.45639590892739
32339,Negro Leagues Baseball,,,,62.45639590892739,62.45639590892739
36184,Masks and Memories,,,,62.45639590892739,62.45639590892739
21940,Dracula Bites the Big Apple,,,,62.45639590892739,62.45639590892739
14969,Kacenka a strasidla,,,,62.45639590892739,62.45639590892739
32037,Love and Learn,,,,62.45639590892739,62.45639590892739
16618,Windprints,,,,62.45623678190561,62.45623678190561
35344,Speaking of the Weather,,,,62.45623678190561,62.45623678190561
12423,Desiertos mares,,,,62.45563702699428,62.45563702699428
12332,Cactus Swing,,,,62.45563702699428,62.45563702699428
34410,$1000 a Touchdown,,,,62.45563702699428,62.45563702699428
8539,Rocky IV: An Animation,,,,62.45563702699428,62.45563702699428
37495,Noble Sissle and Eubie Blake,,,,62.45563702699428,62.45563702699428
35156,Empty Holsters,,,,62.45563702699428,62.45563702699428
27041,"Bell, Bare and Beautiful",,,,62.45535858990393,62.45535858990393
27160,Meine Tochter und ich,,,,62.45535858990393,62.45535858990393
31589,Black Bart,,,,62.455346853202286,62.455346853202286
37391,Bromo and Juliet,,,,62.455346853202286,62.455346853202286
16003,Alcune signore per bene,,,,62.45511625841901,62.45511625841901
29189,Tale of a Trotter,,,,62.45511625841901,62.45511625841901
22526,Telefantasy,,,,62.45511625841901,62.45511625841901
16711,Bimbo Bowlers from Buffalo,,,,62.45511625841901,62.45511625841901
21968,Getting Off,,,,62.45511625841901,62.45511625841901
17665,Mamba,,,,62.45511625841901,62.45511625841901
6181,Wyspa R.O.,,,,62.45511625841901,62.45511625841901
17813,Sexpot,,,,62.45511625841901,62.45511625841901
6847,Jacqueline dans ma vitrine,,,,62.45511625841901,62.45511625841901
12120,Tsuki to kyabetsu,,,,62.45511625841901,62.45511625841901
3250,American Mod,,,,62.45458251294749,62.45458251294749
34941,Next Time I Marry,,,,62.45446038950364,62.45446038950364
21277,Night Warning,,,61.0,63.90882876464866,62.45441438232433
29159,Running Target,,,,62.45432274749119,62.45432274749119
25621,Did You Hear the One About the Traveling Saleslady?,,,,62.45432274749119,62.45432274749119
11447,Diebinnen,,,,62.4541808844695,62.4541808844695
16079,Campus Stalker,,,,62.4541808844695,62.4541808844695
34231,Med livet som insats,,,,62.4541808844695,62.4541808844695
4171,Avonturen van Pietje Bell,,,,62.4541808844695,62.4541808844695
4759,American Exile,,,,62.4541808844695,62.4541808844695
30824,Red Mountain,,,,62.454165668109674,62.454165668109674
25370,Jeff,,,,62.453871328726585,62.453871328726585
27408,"Max, der Taschendieb",,,,62.453871328726585,62.453871328726585
20001,Rakkauselokuva,,,,62.45385757987327,62.45385757987327
27134,Just for Fun,,,,62.45385757987327,62.45385757987327
34775,Broadway Musketeers,,,,62.45385757987327,62.45385757987327
32838,Important Business,,,,62.45385757987327,62.45385757987327
1118,Nick Name & the Normals,,,,62.45385757987327,62.45385757987327
15970,Wildfeuer,,,,62.45385757987327,62.45385757987327
33067,Don Winslow of the Coast Guard,,,,62.45385757987327,62.45385757987327
34386,Viva Cisco Kid,,,,62.45385757987327,62.45385757987327
25814,Skyscraper Caper,,,,62.45328837853849,62.45328837853849
6933,Little Heroes 2,,,,62.45328837853849,62.45328837853849
10157,Allie & Me,,,,62.45328837853849,62.45328837853849
23638,The Black Alley Cats,,,,62.45328837853849,62.45328837853849
36836,You Said a Mouthful,,,,62.45328379302596,62.45328379302596
20678,Colegas,,,,62.45328379302596,62.45328379302596
30380,In the Jungle: The making of Cannibal Holocaust,,,,62.453237202239166,62.453237202239166
19882,Katy,,,,62.45276221084949,62.45276221084949
26334,"Love Me, Love My Mouse",,,,62.452697776486815,62.452697776486815
8590,Secret of the Andes,,,,62.452697776486815,62.452697776486815
10839,Otario,,,,62.45244372075376,62.45244372075376
30372,It Started in Paradise,,,,62.45244372075376,62.45244372075376
23163,Quelle strane occasioni,,,,62.45240533606274,62.45240533606274
34081,Broken Strings,,,,62.452255479904125,62.452255479904125
29068,I'm No Fool Having Fun,,,,62.452255479904125,62.452255479904125
35407,Young and Innocent,,,,62.4522329839181,62.4522329839181
40051,Rumor Has It,,,,62.4522329839181,62.4522329839181
8271,Ma Sheraiti B'Hebron,,,,62.4522329839181,62.4522329839181
1093,Mur,,,,62.4522329839181,62.4522329839181
34169,Gold Rush Maisie,,,,62.45211327322473,62.45211327322473
12401,Darkling,,,,62.45208070979372,62.45208070979372
20795,"Kdyz rozvod, tak rozvod",,,,62.45208070979372,62.45208070979372
716,Freeman,,,,62.45208070979372,62.45208070979372
5818,Roof to Roof,,,,62.45208070979372,62.45208070979372
28405,I Only Arsked!,,,,62.45208070979372,62.45208070979372
17174,Runaway Dreams,,,,62.45206091987235,62.45206091987235
32520,Enemy of the Law,,,,62.45206091987235,62.45206091987235
2620,Nos amis les humains,,,,62.45206091987235,62.45206091987235
